arm,seed,tag,split,episode,start,n_valid_steps,l2_norm_all7_P,translation_l2_P,rotation_l2_P,gripper_absdiff_P,translation_mm_equiv_P,best_of_k_index_P,l2_norm_all7_G,translation_l2_G,rotation_l2_G,gripper_absdiff_G,translation_mm_equiv_G,best_of_k_index_G
control,0,best,test_seen_task,1,0,8,0.03811032016708543,0.03725809720594595,0.04077211172659019,0.04108382761478424,22.857035584633582,2,0.037102764972689835,0.036515126901871614,0.03922379963679218,0.041224848479032516,22.50336103446206,2
control,0,best,test_seen_task,1,92,8,0.06768652997665736,0.07231767857714522,0.06942404141660749,0.07679784297943115,43.64480565355799,0,0.06866610027869333,0.07441967670803852,0.06947188464421537,0.07615327835083008,45.05275529100154,0
control,0,best,test_seen_task,1,184,8,0.03673845868639344,0.04529650472265478,0.025606934609069272,0.08235359191894531,23.089516069999842,2,0.036621104492668324,0.0453082782570107,0.025549436629248613,0.08098256587982178,23.438965383578903,2
control,0,best,test_seen_task,1,276,8,0.04309071065428309,0.05770643400052547,0.024141031964580516,0.06067369878292084,35.62363765123084,1,0.04041136655953724,0.05236104812089407,0.025607465190665087,0.060203224420547485,32.248958309953146,1
control,0,best,test_seen_task,4,0,8,0.028707803090886455,0.03585662702858576,0.01795018634379994,0.04737742245197296,21.637524129882006,0,0.028903976941262163,0.03600032853702975,0.01831898170745156,0.04753965511918068,21.930026234076923,0
control,0,best,test_seen_task,4,90,8,0.05389611394025537,0.07215444204898404,0.037464417537982436,0.0356602668762207,42.95315958744961,0,0.050747567776209604,0.06800939451034135,0.03486830054524498,0.03518879413604736,39.89396235587184,0
control,0,best,test_seen_task,4,180,8,0.04743753223890787,0.06373026476283462,0.029036136827764618,0.04843812435865402,39.4338636718529,2,0.0480316799329499,0.06534914606666134,0.027572875437327123,0.04898422211408615,40.59333042333255,2
control,0,best,test_seen_task,4,270,8,0.03413308846284239,0.0421970744185361,0.028880910694481062,0.04073226451873779,25.427891879134467,0,0.032460918934337016,0.039705757159952074,0.027891805357292392,0.04088032245635986,23.574514324560123,0
control,0,best,test_seen_task,15,0,8,0.045643081749130496,0.027311002012954295,0.06201278947966181,0.03841351717710495,14.60214133434464,0,0.04587227958937584,0.026442616894862197,0.06275493131403517,0.038575246930122375,14.176773372215616,0
control,0,best,test_seen_task,15,78,8,0.04411889828767054,0.03900421560553501,0.04861908815551507,0.05439114570617676,22.75135481497328,2,0.04230732170958092,0.03762075581396092,0.045867466329033456,0.05440068244934082,21.885446212566062,2
control,0,best,test_seen_task,15,156,8,0.06785721195057612,0.06857991066707861,0.07689065363066687,0.030709203332662582,40.292516217454775,2,0.06657683610918695,0.07030498510656474,0.07250468175744164,0.03221791237592697,41.862216646332584,2
control,0,best,test_seen_task,15,234,8,0.0408251174598644,0.05190987416568169,0.03279736144794916,0.03629094362258911,31.697979964183403,0,0.040596237869862696,0.051464342234502976,0.03274797582526303,0.03689870238304138,31.29651279616987,0
control,0,best,test_seen_task,17,0,8,0.05519290666192339,0.045742737286315255,0.06798370519327566,0.04796304553747177,23.71848407796511,1,0.05460437106720378,0.04339793984597595,0.06839815170976069,0.04799022525548935,22.396678673425736,1
control,0,best,test_seen_task,17,80,8,0.06295944680897947,0.08390265215388645,0.045837372269243455,0.04088479280471802,51.66661035038947,2,0.06360336042231714,0.08446240782313125,0.046888967861078296,0.04074734449386597,52.216302951488764,2
control,0,best,test_seen_task,17,161,8,0.031822633422006134,0.03777788467711081,0.028235058473544686,0.03555595874786377,18.934196418040795,1,0.03339871814670929,0.04228661799406704,0.026009504023346033,0.03542184829711914,21.81940346223381,1
control,0,best,test_seen_task,17,241,8,0.03460630453453368,0.04038977034505023,0.02462110324487362,0.06761959195137024,23.285931704174143,2,0.0340908615958314,0.03890168779019204,0.02521501917094453,0.06789813935756683,22.221373903447894,2
control,0,best,test_seen_task,26,0,8,0.03733193909723617,0.043811376863275506,0.035321569167688985,0.025727994740009308,23.784988208575715,2,0.03800947513772464,0.04514669862699803,0.03531610619217445,0.026045136153697968,25.009521597009382,2
control,0,best,test_seen_task,26,96,8,0.04958307819846072,0.06478724768804503,0.03809919984348038,0.030937910079956055,39.21377781311281,1,0.05033395618093526,0.06609133972723026,0.038098360132084064,0.031737446784973145,40.35308392463402,1
control,0,best,test_seen_task,26,192,8,0.04150476450432878,0.03920709549284484,0.04486610771390177,0.05191372334957123,20.150687902360907,2,0.041372978386539395,0.03876370300001641,0.044773115160201216,0.05249825119972229,19.6187423743062,2
control,0,best,test_seen_task,26,288,8,0.02837792247855032,0.035295117530104746,0.015577235465163318,0.0539684072136879,20.138304748066915,0,0.030040325211394964,0.037461969076818744,0.017700390459519662,0.053873833268880844,21.364943461553885,0
control,0,best,test_seen_task,29,0,8,0.026977067466676243,0.032206975985426774,0.019019582571909468,0.051136359572410583,18.966554068807348,2,0.026846229901312548,0.03226434259844341,0.01845037014751881,0.05127228796482086,19.036166650735463,2
control,0,best,test_seen_task,29,93,8,0.046778600414662856,0.06177013451647633,0.0330192063355665,0.04944193363189697,38.336292676903604,2,0.044860044604618364,0.05845458388294211,0.03297467419871066,0.04866337776184082,35.98009669335899,2
control,0,best,test_seen_task,29,187,8,0.04548187802769222,0.03936468910845152,0.056624389944643104,0.023470904678106308,18.625290708119337,2,0.04689404234062574,0.04138512238758883,0.05787853669381765,0.02273900806903839,19.85764778400398,2
control,0,best,test_seen_task,29,280,8,0.03174528962004449,0.023401227064301654,0.03751835358029764,0.05497710406780243,12.539845863429226,1,0.03215584510029812,0.02313556585159992,0.038537663625453605,0.05467745661735535,12.180327475850495,1
control,0,best,test_seen_task,32,0,8,0.03368418984503535,0.036686883709046346,0.03086785190808844,0.05818774551153183,20.788855605900775,0,0.035262944286377655,0.04065530110913462,0.02988386789666043,0.05876950919628143,23.336931822310596,0
control,0,best,test_seen_task,32,74,8,0.06819348120628976,0.048036844642842164,0.09188074679026234,0.03606712818145752,27.44760366327837,1,0.07055924896562922,0.04763295929508323,0.09316799884555435,0.11644840240478516,27.039168595404497,1
control,0,best,test_seen_task,32,147,8,0.031752288400481624,0.03520264428927482,0.032884900301557676,0.016132593154907227,17.663568862649548,0,0.0308404387428,0.033822064434986164,0.0322809259741158,0.016739964485168457,16.383625922410683,0
control,0,best,test_seen_task,32,221,8,0.04914654000475047,0.05934798458092334,0.043380241104437216,0.0353381484746933,32.92845169976855,1,0.05274845531326739,0.06543088025024202,0.04443956139570218,0.035900965332984924,37.657421483277346,1
control,0,best,test_seen_task,53,0,8,0.04723261244642748,0.06330371400676241,0.029024880529491166,0.05171024799346924,37.65654956269969,1,0.050270845138967075,0.06868848526446518,0.028626148895159086,0.05196502059698105,40.85293356020649,1
control,0,best,test_seen_task,53,78,8,0.04099677323778973,0.051478931926827884,0.03509248697232446,0.016747355461120605,27.0248594280436,1,0.040739621103626104,0.051610763380036784,0.03422015240313658,0.017317354679107666,26.828138561979156,1
control,0,best,test_seen_task,53,156,8,0.03905411412083605,0.049317963911630305,0.03234618667948594,0.034065499901771545,28.725203756485897,2,0.041910482923228784,0.053363250354707,0.03421221027809359,0.0340961217880249,30.907662869904595,2
control,0,best,test_seen_task,53,234,8,0.026128783754563577,0.01890604303371477,0.03263060739880653,0.041012492030858994,10.558321347479247,1,0.026692543665122876,0.019015869013486515,0.03361242238638046,0.04101940616965294,10.327141397431497,1
control,0,best,test_seen_task,63,0,8,0.03531815506583051,0.04280687487541749,0.03136668498585058,0.024639664217829704,23.096174516601884,0,0.035608391250193085,0.04453006232516145,0.029702305120050055,0.024474261328577995,24.00543445805885,0
control,0,best,test_seen_task,63,80,8,0.06429238833210493,0.0920398949586575,0.03345081496246182,0.0266035795211792,52.43634786920529,1,0.06522411889560215,0.09373113857769,0.03295339848487902,0.026740431785583496,53.81030698654819,1
control,0,best,test_seen_task,63,160,8,0.040008307110528676,0.035067576992344425,0.047425942703679475,0.05699220299720764,17.99728516682296,0,0.03914429418237726,0.036603479278171674,0.044487014353800085,0.05692055821418762,18.55440608685889,0
control,0,best,test_seen_task,63,240,8,0.028159176054153284,0.031896954425669796,0.02454033632718091,0.03992082178592682,18.023207856894018,2,0.029649236725533802,0.03431996251442196,0.02532775352633431,0.03995797038078308,19.476569828910016,2
control,0,best,test_seen_task,67,0,8,0.02992268840874033,0.029176160007520727,0.027204330836742528,0.06177745759487152,16.797194019578438,1,0.02989424576913967,0.02922924735465723,0.026983512265820225,0.062013961374759674,16.7340054159994,1
control,0,best,test_seen_task,67,127,8,0.054181705248619615,0.05510875140265808,0.060069292312202975,0.04029273986816406,28.329474142715345,0,0.05417442866756617,0.05535385019829175,0.059810465541121606,0.040805935859680176,28.356591750266077,0
control,0,best,test_seen_task,67,253,8,0.04841836351551358,0.04823339459822976,0.05461043525162989,0.03777793049812317,26.598161446673252,1,0.05008454761738211,0.04869282047818097,0.05767524055650513,0.037407711148262024,26.619916785811515,1
control,0,best,test_seen_task,67,380,8,0.035998641427934325,0.03685991659030103,0.03999019483953015,0.023496190086007118,20.789395510355575,1,0.0344798776699291,0.035268273198389044,0.03822049728560584,0.023439515382051468,19.256631205368336,1
control,0,best,test_seen_task,86,0,8,0.04658189809362153,0.0617384817228819,0.034320183221629136,0.021931737661361694,37.26637284641447,2,0.04374810887190657,0.05765652144576276,0.03271630159817957,0.021501705050468445,34.642362326664546,2
control,0,best,test_seen_task,86,138,8,0.05136413794054751,0.05419528557389538,0.05109634613157809,0.07081460952758789,33.757493755768415,2,0.05173278748915055,0.0543526470142338,0.05170457390097668,0.0711868405342102,33.913115569147685,2
control,0,best,test_seen_task,86,275,8,0.03394007259394343,0.04098977337634488,0.023215464604668907,0.05218888819217682,23.532732002846373,0,0.035987264327276815,0.04340900941255746,0.0259191246951482,0.05172105133533478,24.975815924568046,0
control,0,best,test_seen_task,86,413,8,0.028243445340517277,0.03271559195878258,0.02493470811751622,0.034592919051647186,18.874372286536545,0,0.027604935710819123,0.031750360221722417,0.024472807770138216,0.03440815210342407,18.174385400378004,0
control,0,best,test_seen_task,93,0,8,0.03827344844627744,0.03918226823310384,0.040071563008024925,0.04171954095363617,21.88916646724816,1,0.03669701005140725,0.03767250319284826,0.037804557261156856,0.042894840240478516,21.494422015251722,1
control,0,best,test_seen_task,93,76,8,0.06787378856030839,0.0823581559231151,0.06151350182823324,0.030905961990356445,46.87430447138587,2,0.06663354351732842,0.08305393514854663,0.057197779987951475,0.03116762638092041,47.02329842883024,2
control,0,best,test_seen_task,93,151,8,0.03778329338959475,0.04443755769992976,0.03359273613597421,0.040267862379550934,26.22989564356191,2,0.036287087226931705,0.042586417055817116,0.032037208903391005,0.04066172242164612,24.9736719230878,2
control,0,best,test_seen_task,93,227,8,0.03923511786066647,0.03321751525101114,0.0463258218703943,0.05346006155014038,19.130509596886117,2,0.040869343688551364,0.05217579211058161,0.0292523221480725,0.050016485154628754,28.83331368349046,0
control,0,best,test_seen_task,97,0,8,0.054005950254327015,0.056402807746227114,0.05821414890569873,0.0368831530213356,32.67229599423494,0,0.05495192708451246,0.07046740525370367,0.04463070388957501,0.02785353735089302,39.98702531880246,2
control,0,best,test_seen_task,97,80,8,0.036359716296123265,0.02103394288654477,0.047931249423128916,0.05389130115509033,11.254907896574796,1,0.036773670549887436,0.02084711209054872,0.048838204042049034,0.05338406562805176,11.24849611365865,1
control,0,best,test_seen_task,97,161,8,0.04299261362603888,0.04090742831443719,0.05026610867153471,0.02945399284362793,23.282404239543776,1,0.04280665288230176,0.04057158370089541,0.05018018847523231,0.028693079948425293,23.209262066330954,1
control,0,best,test_seen_task,97,241,8,0.046589076981336484,0.06017328466437644,0.03447331282507187,0.0451926663517952,35.555948471282214,1,0.05069405626497891,0.0657096085720929,0.03760185860912781,0.04571026563644409,39.481174755523426,1
control,0,best,test_seen_task,118,0,8,0.062343343803540736,0.08589623383752812,0.039091807251137554,0.04551505297422409,47.20897496481086,1,0.06478386331573593,0.09043791879471227,0.038126480143656,0.04544398933649063,50.20486159161261,1
control,0,best,test_seen_task,118,87,8,0.049032894310471614,0.06224658188268473,0.04059574195659121,0.02433919906616211,39.39352303565252,0,0.049753763869987755,0.0643754251975208,0.03919230240906335,0.025403857231140137,40.78697472143595,0
control,0,best,test_seen_task,118,173,8,0.037442917583213546,0.04478884285233513,0.03367406289328646,0.03477124869823456,22.455465346265743,1,0.036762588106560044,0.043652599241840825,0.033445918000781324,0.03472239524126053,21.90456253992998,1
control,0,best,test_seen_task,118,260,8,0.03600943629522372,0.036545748600796145,0.035698036732412654,0.055350854992866516,20.033193316952286,1,0.037409388092160094,0.03882671449254013,0.036592758803549716,0.05556324124336243,21.51890484899391,1
control,0,best,test_seen_task,123,0,8,0.03241299867120363,0.03396062895982405,0.033828902556133786,0.0338878370821476,18.584698562797566,1,0.032616995410899456,0.03353281038814335,0.03470287961589274,0.03391268849372864,18.368627765880024,1
control,0,best,test_seen_task,123,103,8,0.04267833576977585,0.043619918287524775,0.04606554222286738,0.03911089897155762,24.410812688900453,2,0.041311571607493415,0.043597593469250316,0.04307195160604006,0.03898286819458008,24.85585339749853,2
control,0,best,test_seen_task,123,206,8,0.10105235070328313,0.09472342114341491,0.11611542914700339,0.08474327623844147,54.70100835172504,2,0.10041180191176713,0.09403417020108165,0.11565924082007023,0.08272683620452881,54.75546746634232,2
control,0,best,test_seen_task,123,309,8,0.06661127194967383,0.08583087188016175,0.05401781497867063,0.023032449185848236,53.37857628846984,1,0.0728876245333986,0.09764086618975885,0.05284402860485753,0.02363348752260208,60.888039477377085,1
control,0,best,test_seen_task,137,0,8,0.029231656488070187,0.03696420939813024,0.021762473077708355,0.046485599130392075,23.135317241636734,0,0.029256325910057775,0.037703413899009455,0.020546966735671465,0.046438317745923996,23.629382720970934,0
