arm,seed,tag,split,episode,start,flow_seed,flow_loss_P,flow_loss_G,flow_delta_P_minus_G
control,0,best,test_seen_task,1,0,726874073,0.027954181656241417,0.02733391709625721,0.0006202645599842072
control,0,best,test_seen_task,1,92,1982512086,0.03654264286160469,0.037936706095933914,-0.0013940632343292236
control,0,best,test_seen_task,1,184,433407699,0.06519251316785812,0.06456856429576874,0.000623948872089386
control,0,best,test_seen_task,1,276,1179681900,0.020640326663851738,0.019668081775307655,0.0009722448885440826
control,0,best,test_seen_task,4,0,237541897,0.03811043128371239,0.038022298365831375,8.813291788101196e-05
control,0,best,test_seen_task,4,90,1801247240,0.01849588379263878,0.016920829191803932,0.0015750546008348465
control,0,best,test_seen_task,4,180,650485650,0.011636296287178993,0.012014292180538177,-0.00037799589335918427
control,0,best,test_seen_task,4,270,1332449542,0.010445734485983849,0.01072417851537466,-0.0002784440293908119
control,0,best,test_seen_task,15,0,170694218,0.022555062547326088,0.022868286818265915,-0.00031322427093982697
control,0,best,test_seen_task,15,78,864471962,0.008881877176463604,0.008294059894979,0.0005878172814846039
control,0,best,test_seen_task,15,156,39841389,0.018872171640396118,0.019236411899328232,-0.00036424025893211365
control,0,best,test_seen_task,15,234,452370082,0.0831117033958435,0.08617108315229416,-0.003059379756450653
control,0,best,test_seen_task,17,0,825388594,0.012869938276708126,0.012090991251170635,0.0007789470255374908
control,0,best,test_seen_task,17,80,1712523696,0.01682291366159916,0.01690046675503254,-7.755309343338013e-05
control,0,best,test_seen_task,17,161,45209887,0.019944416359066963,0.020223846659064293,-0.0002794302999973297
control,0,best,test_seen_task,17,241,1056580318,0.03288986533880234,0.032317183911800385,0.0005726814270019531
control,0,best,test_seen_task,26,0,98656768,0.022928090766072273,0.023698274046182632,-0.0007701832801103592
control,0,best,test_seen_task,26,96,1411051037,0.008832037448883057,0.008752440102398396,7.95973464846611e-05
control,0,best,test_seen_task,26,192,1248391255,0.020753847435116768,0.020915856584906578,-0.00016200914978981018
control,0,best,test_seen_task,26,288,391844572,0.00537868170067668,0.0053819757886230946,-3.2940879464149475e-06
control,0,best,test_seen_task,29,0,1391182366,0.011475086212158203,0.01140083372592926,7.425248622894287e-05
control,0,best,test_seen_task,29,93,1491299623,0.005527869798243046,0.005395292304456234,0.00013257749378681183
control,0,best,test_seen_task,29,187,423221705,0.010786904953420162,0.011232859455049038,-0.00044595450162887573
control,0,best,test_seen_task,29,280,88535156,0.009175843559205532,0.009237847290933132,-6.20037317276001e-05
control,0,best,test_seen_task,32,0,542686834,0.01558306161314249,0.016018977388739586,-0.0004359157755970955
control,0,best,test_seen_task,32,74,1102860889,0.09483635425567627,0.09621084481477737,-0.0013744905591011047
control,0,best,test_seen_task,32,147,1354883858,0.008871394209563732,0.00861054565757513,0.0002608485519886017
control,0,best,test_seen_task,32,221,1547678258,0.04389799386262894,0.047862228006124496,-0.00396423414349556
control,0,best,test_seen_task,53,0,1880209021,0.009352370165288448,0.010290081612765789,-0.0009377114474773407
control,0,best,test_seen_task,53,78,988597231,0.006933939177542925,0.007126301992684603,-0.00019236281514167786
control,0,best,test_seen_task,53,156,802935084,0.010466663166880608,0.010716659016907215,-0.0002499958500266075
control,0,best,test_seen_task,53,234,1126364502,0.01203580480068922,0.012027157470583916,8.647330105304718e-06
control,0,best,test_seen_task,63,0,99021022,0.010201260447502136,0.009927843697369099,0.00027341675013303757
control,0,best,test_seen_task,63,80,1224090755,0.00969528965651989,0.009796659462153912,-0.00010136980563402176
control,0,best,test_seen_task,63,160,1317296250,0.02165912091732025,0.019975829869508743,0.0016832910478115082
control,0,best,test_seen_task,63,240,195314647,0.006239949259907007,0.0063571929931640625,-0.00011724373325705528
control,0,best,test_seen_task,67,0,2140972060,0.00634269742295146,0.0064110467210412025,-6.834929808974266e-05
control,0,best,test_seen_task,67,127,2034019091,0.04076658934354782,0.040913522243499756,-0.00014693289995193481
control,0,best,test_seen_task,67,253,1378507920,0.01084959413856268,0.01100646611303091,-0.0001568719744682312
control,0,best,test_seen_task,67,380,1000713355,0.011305317282676697,0.010510233230888844,0.0007950840517878532
control,0,best,test_seen_task,86,0,1665037521,0.005734275560826063,0.005286117549985647,0.00044815801084041595
control,0,best,test_seen_task,86,138,1582016963,0.01342311967164278,0.01375533826649189,-0.00033221859484910965
control,0,best,test_seen_task,86,275,790987642,0.029149409383535385,0.030319705605506897,-0.0011702962219715118
control,0,best,test_seen_task,86,413,508873344,0.005566128063946962,0.0054939365945756435,7.219146937131882e-05
control,0,best,test_seen_task,93,0,79329443,0.03264841064810753,0.032177384942770004,0.0004710257053375244
control,0,best,test_seen_task,93,76,1797888061,0.03424001857638359,0.0323227122426033,0.0019173063337802887
control,0,best,test_seen_task,93,151,513860897,0.007214052136987448,0.0070261540822684765,0.00018789805471897125
control,0,best,test_seen_task,93,227,830740974,0.015663227066397667,0.015892524272203445,-0.0002292972058057785
control,0,best,test_seen_task,97,0,1044096782,0.09716890007257462,0.09794545918703079,-0.0007765591144561768
control,0,best,test_seen_task,97,80,375238804,0.011699642054736614,0.011846191249787807,-0.00014654919505119324
control,0,best,test_seen_task,97,161,1349622959,0.028895672410726547,0.028335154056549072,0.000560518354177475
control,0,best,test_seen_task,97,241,373242270,0.016183987259864807,0.01627299003303051,-8.900277316570282e-05
control,0,best,test_seen_task,118,0,468679158,0.03420012444257736,0.03625444695353508,-0.002054322510957718
control,0,best,test_seen_task,118,87,1787360213,0.009223220869898796,0.00937082339078188,-0.00014760252088308334
control,0,best,test_seen_task,118,173,104015941,0.01327438559383154,0.012824933044612408,0.00044945254921913147
control,0,best,test_seen_task,118,260,1794689333,0.009924380108714104,0.009819148108363152,0.00010523200035095215
control,0,best,test_seen_task,123,0,1474317158,0.034365493804216385,0.034625325351953506,-0.0002598315477371216
control,0,best,test_seen_task,123,103,2006593689,0.01922951266169548,0.01876111701130867,0.0004683956503868103
control,0,best,test_seen_task,123,206,104020358,0.2005828619003296,0.20006442070007324,0.0005184412002563477
control,0,best,test_seen_task,123,309,886020518,0.01702553778886795,0.019091108813881874,-0.0020655710250139236
control,0,best,test_seen_task,137,0,255958466,0.01768430694937706,0.017074624076485634,0.0006096828728914261
control,0,best,test_seen_task,137,103,1558107564,0.010616464540362358,0.01048143021762371,0.00013503432273864746
control,0,best,test_seen_task,137,206,1833414139,0.011709334328770638,0.01154312677681446,0.00016620755195617676
control,0,best,test_seen_task,137,309,2049529803,0.016493383795022964,0.016421042382717133,7.234141230583191e-05
control,0,best,test_seen_task,160,0,789353395,0.011746370233595371,0.01262793131172657,-0.0008815610781311989
control,0,best,test_seen_task,160,83,434639503,0.00861769076436758,0.008857257664203644,-0.00023956689983606339
control,0,best,test_seen_task,160,167,210893403,0.015474699437618256,0.014576463028788567,0.000898236408829689
