condition,family,severity,n_episodes,n_valid,n_invalid,success_rate,n_success,n_fail,n_states,treatment_mm_median,treatment_mm_mean,treatment_ci_low,treatment_ci_high,nuisance_mm_median,treatment_over_nuisance_median,treatment_vs_ID,obj_treatment_mm_median,chunk_motion_mm_median,U_mse_median,D_median,G_median,timeout_failures,early_failures,infrastructure_errors
A_occlusion_medium,A_occlusion,medium,15,15,0,0.8666666666666667,13,2,44,2.044026592837704,2.2751779343922096,2.0095546608654438,2.5269395204968426,0.5318316480440102,3.689914846598726,2.261091363758522,0.0,65.10000903370391,0.13393727483329282,7.124340295791626,2.9969512224197388,2,0,0
A_occlusion_mild,A_occlusion,mild,15,15,0,1.0,15,0,45,1.0610287563575356,1.4915245694929855,1.1794540389663721,1.867701237790854,0.4392846167769701,2.3371722803581805,1.1737043765016986,0.09332846562221098,76.77312267168622,0.12581220689294317,7.263328552246094,2.814619541168213,0,0,0
A_occlusion_strong,A_occlusion,strong,15,15,0,0.9333333333333333,14,1,44,2.1597238908285794,2.566503769382006,2.1678459157375007,2.9402252157399977,0.7044869859482915,3.263534672537025,2.389075100474092,0.0,60.71994400313041,0.16140230881667827,8.121166229248047,2.955453634262085,1,0,0
B_camera_shift_medium,B_camera_shift,medium,15,15,0,0.9333333333333333,14,1,45,1.0935265890737726,1.497295529035197,1.1830921814074051,1.9101174418722366,0.4652371886276077,2.050870260403858,1.209653306497536,0.07571179453597822,83.55431386122316,0.14692030206662535,8.277996063232422,2.9959940910339355,1,0,0
B_camera_shift_mild,B_camera_shift,mild,15,15,0,1.0,15,0,45,0.8797416998352938,1.371973289079367,1.154335449945703,1.621920453938275,0.4565547446144051,2.0375591342460693,0.9731655971629356,0.03644662772659516,82.90598633610823,0.11510113134470934,8.382680892944336,2.8157553672790527,0,0,0
B_camera_shift_strong,B_camera_shift,strong,15,15,0,0.9333333333333333,14,1,44,1.5659863182983416,1.9730277439265074,1.5285585432673112,2.512297307336215,0.5013317376098491,3.2204156821878556,1.7322857503300237,0.07565127779057351,78.98724615802345,0.20055605659772838,10.9349045753479,3.2219061851501465,1,0,0
C_object_shift_medium,C_object_shift,medium,15,9,6,1.0,9,0,27,1.1607521245357229,1.1850647155468648,0.9852494672335799,1.370038665140748,0.508028142678906,2.424451521389111,1.2840178368757995,0.0,90.37551088485361,0.09261113580333787,7.50345516204834,3.4016051292419434,0,0,0
C_object_shift_mild,C_object_shift,mild,15,10,5,1.0,10,0,30,0.8400836186718363,1.0688289660202044,0.8476636806988546,1.310325753707205,0.48457419442369887,1.8693195356364471,0.9292960383538013,0.0,89.7656576115937,0.09522406863105334,7.472424507141113,3.2988189458847046,0,0,0
C_object_shift_strong,C_object_shift,strong,15,8,7,0.875,7,1,24,1.0398834288000627,1.253565002144841,1.0477120326292575,1.4828895134302622,0.5330539898187234,2.0669012983268935,1.1503135274336975,0.0,84.17039852951251,0.09703248770869916,7.549392461776733,3.5630135536193848,1,0,0
ID,ID,none,15,15,0,1.0,15,0,45,0.8250234209381319,0.9574784348437393,0.7932594318151827,1.1541504795069752,0.4617405302624172,1.8373250147335425,0.912636527586429,0.030360898372880585,85.07074730351059,0.086654328228205,7.104894638061523,2.801936626434326,0,0,0
