state_id,condition,family,suite,task_id,episode_idx,episode,source_episode_success,intervention_step,step_budget,success_A_baseline,steps_A_baseline,rts_A_baseline,success_B_top_D,steps_B_top_D,rts_B_top_D,success_C_top_DS,steps_C_top_DS,rts_C_top_DS,success_D_full_oracle,steps_D_full_oracle,rts_D_full_oracle,case1_rescue_DxS,case2_damage_DxS,case3_oracle_rescue,case4_oracle_also_fail,rescue_topD,damage_topD,damage_oracle
A_occlusion_medium_libero_goal_t05_ep007_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,5,7,A_occlusion_medium_libero_goal_t5_ep7,True,24,226,1,84,84,0,226,,1,92,92,0,226,,0,0,0,0,0,1,1
A_occlusion_medium_libero_goal_t05_ep009_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,5,9,A_occlusion_medium_libero_goal_t5_ep9,True,24,226,1,111,111,1,106,106,1,116,116,0,226,,0,0,0,0,0,0,1
A_occlusion_medium_libero_goal_t08_ep001_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,8,1,A_occlusion_medium_libero_goal_t8_ep1,True,24,226,1,69,69,0,226,,1,67,67,1,67,67,0,0,0,0,0,1,0
A_occlusion_medium_libero_goal_t08_ep002_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,8,2,A_occlusion_medium_libero_goal_t8_ep2,True,24,226,0,226,,1,87,87,1,97,97,1,83,83,1,0,1,0,1,0,0
A_occlusion_medium_libero_goal_t08_ep005_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,8,5,A_occlusion_medium_libero_goal_t8_ep5,True,24,226,1,133,133,1,74,74,1,74,74,0,226,,0,0,0,0,0,0,1
A_occlusion_medium_libero_goal_t08_ep007_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,8,7,A_occlusion_medium_libero_goal_t8_ep7,True,24,226,1,83,83,0,226,,0,226,,1,87,87,0,1,0,0,0,1,0
A_occlusion_medium_libero_object_t00_ep000_s0024_approach,A_occlusion_medium,A_occlusion,libero_object,0,0,A_occlusion_medium_libero_object_t0_ep0,False,24,226,1,174,174,1,125,125,0,226,,0,226,,0,1,0,0,0,0,1
A_occlusion_medium_libero_object_t00_ep001_s0024_approach,A_occlusion_medium,A_occlusion,libero_object,0,1,A_occlusion_medium_libero_object_t0_ep1,False,24,226,1,167,167,1,198,198,0,226,,1,165,165,0,1,0,0,0,0,0
A_occlusion_medium_libero_object_t00_ep006_s0024_approach,A_occlusion_medium,A_occlusion,libero_object,0,6,A_occlusion_medium_libero_object_t0_ep6,True,24,226,1,183,183,1,189,189,1,175,175,0,226,,0,0,0,0,0,0,1
A_occlusion_medium_libero_object_t00_ep009_s0024_approach,A_occlusion_medium,A_occlusion,libero_object,0,9,A_occlusion_medium_libero_object_t0_ep9,True,24,226,1,135,135,1,184,184,0,226,,1,133,133,0,1,0,0,0,0,0
B_camera_shift_strong_libero_goal_t08_ep004_s0016_approach,B_camera_shift_strong,B_camera_shift,libero_goal,8,4,B_camera_shift_strong_libero_goal_t8_ep4,False,16,234,0,234,,0,234,,0,234,,1,59,59,0,0,1,0,0,0,0
B_camera_shift_strong_libero_goal_t08_ep008_s0016_approach,B_camera_shift_strong,B_camera_shift,libero_goal,8,8,B_camera_shift_strong_libero_goal_t8_ep8,True,16,234,0,234,,1,83,83,1,93,93,1,93,93,1,0,1,0,1,0,0
B_camera_shift_strong_libero_spatial_t07_ep000_s0016_approach,B_camera_shift_strong,B_camera_shift,libero_spatial,7,0,B_camera_shift_strong_libero_spatial_t7_ep0,True,16,234,1,109,109,1,108,108,0,234,,1,111,111,0,1,0,0,0,0,0
B_camera_shift_strong_libero_spatial_t07_ep005_s0016_approach,B_camera_shift_strong,B_camera_shift,libero_spatial,7,5,B_camera_shift_strong_libero_spatial_t7_ep5,True,16,234,1,167,167,0,234,,1,165,165,0,234,,0,0,0,0,0,1,1
B_camera_shift_strong_libero_spatial_t07_ep006_s0016_approach,B_camera_shift_strong,B_camera_shift,libero_spatial,7,6,B_camera_shift_strong_libero_spatial_t7_ep6,True,16,234,1,123,123,1,169,169,1,129,129,0,234,,0,0,0,0,0,0,1
B_camera_shift_strong_libero_spatial_t07_ep007_s0016_approach,B_camera_shift_strong,B_camera_shift,libero_spatial,7,7,B_camera_shift_strong_libero_spatial_t7_ep7,True,16,234,1,113,113,0,234,,1,89,89,0,234,,0,0,0,0,0,1,1
B_camera_shift_strong_libero_spatial_t07_ep009_s0016_approach,B_camera_shift_strong,B_camera_shift,libero_spatial,7,9,B_camera_shift_strong_libero_spatial_t7_ep9,True,16,234,1,163,163,1,154,154,0,234,,1,113,113,0,1,0,0,0,0,0
