task,condition,source,paper_percent,planned,completed,successes,failures,system_errors,seed_rejected,local_success_percent,new_method_percent
lift_pot,demo_clean,local_baseline,100,3,3,3,0,0,1,100.0,
open_microwave,demo_clean,local_baseline,41,5,5,2,3,1,8,40.0,
open_microwave,demo_randomized,local_baseline,43,5,5,3,2,2,5,60.0,
hanging_mug,demo_clean,local_baseline,51,5,5,2,3,1,0,40.0,
hanging_mug,demo_randomized,local_baseline,43,5,5,4,1,1,12,80.0,
turn_switch,demo_clean,local_baseline,47,5,5,1,4,0,2,20.0,
turn_switch,demo_randomized,local_baseline,56,5,5,4,1,0,4,80.0,
place_can_basket,demo_clean,local_baseline,92,5,5,3,2,0,0,60.0,
place_can_basket,demo_randomized,local_baseline,65,5,5,3,2,2,1,60.0,
stack_blocks_three,demo_clean,local_baseline,90,5,5,5,0,0,0,100.0,
stack_blocks_three,demo_randomized,local_baseline,75,5,5,3,2,0,0,60.0,
stack_bowls_three,demo_clean,local_baseline,90,5,5,5,0,0,3,100.0,
stack_bowls_three,demo_randomized,local_baseline,80,5,5,5,0,1,3,100.0,
put_object_cabinet,demo_clean,local_baseline,90,5,3,3,0,0,17,100.0,
put_object_cabinet,demo_randomized,local_baseline,82,5,2,2,0,0,18,100.0,
stamp_seal,demo_clean,local_baseline,89,5,5,5,0,0,4,100.0,
stamp_seal,demo_randomized,local_baseline,88,5,5,5,0,0,3,100.0,
